I	101307	130638	1	1	0	0	1	13
I	141054	183301	2	2	0	1	0	13
III	227831	231005	2	2	0	1	0	18
IV	818428	865004	1	1	0	1	0	16
IV	871309	884569	1	1	0	1	0	14
IV	876284	892694	1	1	0	0	1	12
V	432672	433196	1	1	1	5	4	14
VII	900522	910109	2	2	0	1	0	14
VIII	16065	22195	1	1	0	2	0	12
VIII	335703	375395	1	1	0	0	1	15
VIII	434432	451131	1	1	0	0	1	16
IX	187851	202142	1	1	0	1	0	12
X	153011	156175	2	2	0	0	1	17
XI	180040	181789	2	2	0	0	1	12
XII	82656	88216	2	2	0	1	0	17
XII	130121	144904	1	1	0	0	1	15
XII	274788	452197	1	1	0	0	3	16
XII	274788	461334	1	1	0	0	3	16
XII	392476	431457	1	1	0	0	1	13
XII	421514	452712	1	1	0	0	15	17
XII	421514	461849	1	1	0	0	15	17
XII	452762	455871	1	1	0	0	1	14
XII	454069	454496	2	2	0	1	0	14
XII	456321	542845	2	2	0	0	3	12
XII	457117	466254	2	2	0	0	1	16
XII	465458	542845	2	2	0	0	3	12
XII	770165	913181	1	1	0	0	4	13
XIII	157406	176213	2	2	0	0	1	13
XIII	759895	795401	2	2	0	1	0	15
XIV	563300	601745	1	1	0	1	0	13
XIV	770205	780522	2	2	0	1	0	12
XV	536942	557781	2	2	0	1	0	12
XVI	800231	815963	2	2	0	1	0	13
